"Real wind","lastSailRotation","lastRudderRotation","speed","Ship direction","acceleration","friction","sailForcing","mass","time","ropeLenght","Apparent wind","velaOverShip","windOverVela","rudderRotation"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.022058748","1.5","(100.0, 0.0, 0.0)","0.9553365","1.0","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.02603634","1.5","(100.0, 0.0, 0.0)","0.9674405","0.99902695","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.028689388","1.5","(100.0, 0.0, 0.0)","0.96942115","0.99864495","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.031130828","1.5","(100.0, 0.0, 0.0)","0.97070795","0.99835515","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.034757107","1.5","(100.0, 0.0, 0.0)","0.9718677","0.9980638","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.037200194","1.5","(100.0, 0.0, 0.0)","0.97354704","0.99758744","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","1.0","1.0","0.039700087","1.5","(100.0, 0.0, 0.0)","0.9746492","0.9972372","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.26182705","(1.0, 0.0, 0.0)","97.19538","0.0","1.0","1.0","0.042393908","1.5","(100.0, 0.0, 0.0)","0.97464526","0.9972385","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.5228579","(1.0, 0.0, 0.0)","96.9406","8.569175E-4","1.0","1.0","0.04508662","1.5","(99.738174, 0.0, 0.0)","0.97464097","0.9972399","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.85792714","(1.0, 0.0, 0.0)","96.686615","0.003417255","1.0","1.0","0.04855226","1.5","(99.47714, 0.0, 0.0)","0.9746368","0.9972413","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.162166","(1.0, 0.0, 0.0)","96.36059","0.009200487","1.0","1.0","0.051709857","1.5","(99.142075, 0.0, 0.0)","0.9746314","0.99724305","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.4597286","(1.0, 0.0, 0.0)","96.064545","0.016882872","1.0","1.0","0.054807927","1.5","(98.83784, 0.0, 0.0)","0.97462636","0.9972448","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.763699","(1.0, 0.0, 0.0)","95.775024","0.026635095","1.0","1.0","0.05798261","1.5","(98.54027, 0.0, 0.0)","0.9746217","0.9972463","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.063455","(1.0, 0.0, 0.0)","95.47924","0.03888293","1.0","1.0","0.061123375","1.5","(98.2363, 0.0, 0.0)","0.97461665","0.99724793","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.3411005","(1.0, 0.0, 0.0)","95.1876","0.053223085","1.0","1.0","0.06404183","1.5","(97.93655, 0.0, 0.0)","0.974612","0.99724954","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.683898","(1.0, 0.0, 0.0)","94.91744","0.06850939","1.0","1.0","0.06765597","1.5","(97.6589, 0.0, 0.0)","0.97460747","0.99725103","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.964852","(1.0, 0.0, 0.0)","94.58392","0.090041354","1.0","1.0","0.070629224","1.5","(97.3161, 0.0, 0.0)","0.9746021","0.9972528","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.2601995","(1.0, 0.0, 0.0)","94.31056","0.10987935","1.0","1.0","0.073764525","1.5","(97.03515, 0.0, 0.0)","0.9745976","0.9972543","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.5860827","(1.0, 0.0, 0.0)","94.0232","0.13286127","1.0","1.0","0.077235416","1.5","(96.7398, 0.0, 0.0)","0.97459286","0.99725586","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.8987167","(1.0, 0.0, 0.0)","93.70614","0.16074987","1.0","1.0","0.08057747","1.5","(96.41392, 0.0, 0.0)","0.97458786","0.99725753","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.1642714","(1.0, 0.0, 0.0)","93.40197","0.18999991","1.0","1.0","0.0834264","1.5","(96.10128, 0.0, 0.0)","0.97458297","0.99725914","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.4231806","(1.0, 0.0, 0.0)","93.1436","0.21676445","1.0","1.0","0.08621257","1.5","(95.83573, 0.0, 0.0)","0.9745788","0.9972605","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.698038","(1.0, 0.0, 0.0)","92.89169","0.24455658","1.0","1.0","0.08917928","1.5","(95.57682, 0.0, 0.0)","0.9745746","0.9972619","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.965455","(1.0, 0.0, 0.0)","92.62428","0.27589452","1.0","1.0","0.09207501","1.5","(95.30196, 0.0, 0.0)","0.97457033","0.99726325","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","5.2647085","(1.0, 0.0, 0.0)","92.36411","0.3081968","1.0","1.0","0.09532579","1.5","(95.034546, 0.0, 0.0)","0.97456616","0.9972647","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","5.5874467","(1.0, 0.0, 0.0)","92.07298","0.34646446","1.0","1.0","0.098844275","1.5","(94.73529, 0.0, 0.0)","0.97456163","0.9972662","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","5.88884","(1.0, 0.0, 0.0)","91.75899","0.3902445","1.0","1.0","0.10214292","1.5","(94.41255, 0.0, 0.0)","0.97455657","0.99726784","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.1724086","(1.0, 0.0, 0.0)","91.465775","0.4334805","1.0","1.0","0.10525796","1.5","(94.11116, 0.0, 0.0)","0.97455204","0.99726933","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.45179","(1.0, 0.0, 0.0)","91.189896","0.47623286","1.0","1.0","0.108337775","1.5","(93.82759, 0.0, 0.0)","0.97454756","0.9972708","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.732071","(1.0, 0.0, 0.0)","90.918106","0.5203199","1.0","1.0","0.111438304","1.5","(93.54821, 0.0, 0.0)","0.9745434","0.9972722","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.028671","(1.0, 0.0, 0.0)","90.64543","0.5665097","1.0","1.0","0.11473098","1.5","(93.26793, 0.0, 0.0)","0.97453904","0.9972736","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.30275","(1.0, 0.0, 0.0)","90.35689","0.61752766","1.0","1.0","0.11778515","1.5","(92.97133, 0.0, 0.0)","0.9745345","0.9972751","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.5745068","(1.0, 0.0, 0.0)","90.09025","0.666627","1.0","1.0","0.12082413","1.5","(92.69725, 0.0, 0.0)","0.97453034","0.9972765","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.847323","(1.0, 0.0, 0.0)","89.825874","0.7171644","1.0","1.0","0.123885736","1.5","(92.42549, 0.0, 0.0)","0.97452617","0.99727786","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.106325","(1.0, 0.0, 0.0)","89.560486","0.76975596","1.0","1.0","0.12680273","1.5","(92.15268, 0.0, 0.0)","0.9745222","0.99727917","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.3672695","(1.0, 0.0, 0.0)","89.30852","0.82140636","1.0","1.0","0.12975168","1.5","(91.89368, 0.0, 0.0)","0.9745182","0.9972805","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.601804","(1.0, 0.0, 0.0)","89.054665","0.87514","1.0","1.0","0.13241142","1.5","(91.63273, 0.0, 0.0)","0.9745142","0.9972818","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.863868","(1.0, 0.0, 0.0)","88.826515","0.92488784","1.0","1.0","0.13539276","1.5","(91.39819, 0.0, 0.0)","0.9745107","0.9972829","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.133734","(1.0, 0.0, 0.0)","88.57158","0.9821019","1.0","1.0","0.13847378","1.5","(91.13613, 0.0, 0.0)","0.97450674","0.99728423","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.367891","(1.0, 0.0, 0.0)","88.30906","1.0428137","1.0","1.0","0.14115703","1.5","(90.866264, 0.0, 0.0)","0.97450274","0.99728554","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.6144","(1.0, 0.0, 0.0)","88.08128","1.0969673","1.0","1.0","0.14399098","1.5","(90.63211, 0.0, 0.0)","0.9744993","0.9972867","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.881529","(1.0, 0.0, 0.0)","87.841484","1.1554586","1.0","1.0","0.14707255","1.5","(90.3856, 0.0, 0.0)","0.97449565","0.99728787","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.12014","(1.0, 0.0, 0.0)","87.581635","1.2205577","1.0","1.0","0.14983551","1.5","(90.11847, 0.0, 0.0)","0.97449166","0.9972892","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.358202","(1.0, 0.0, 0.0)","87.349525","1.2802155","1.0","1.0","0.15260145","1.5","(89.87986, 0.0, 0.0)","0.974488","0.9972904","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.6073265","(1.0, 0.0, 0.0)","87.11795","1.3411543","1.0","1.0","0.15550578","1.5","(89.6418, 0.0, 0.0)","0.97448456","0.9972915","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.845961","(1.0, 0.0, 0.0)","86.87562","1.4064422","1.0","1.0","0.15829782","1.5","(89.39267, 0.0, 0.0)","0.9744809","0.9972927","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.108729","(1.0, 0.0, 0.0)","86.64349","1.4704359","1.0","1.0","0.16138294","1.5","(89.15404, 0.0, 0.0)","0.97447747","0.99729383","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.333957","(1.0, 0.0, 0.0)","86.387886","1.5425484","1.0","1.0","0.1640375","1.5","(88.89127, 0.0, 0.0)","0.9744735","0.9972951","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.573914","(1.0, 0.0, 0.0)","86.16881","1.6057322","1.0","1.0","0.16687511","1.5","(88.666046, 0.0, 0.0)","0.9744702","0.9972962","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.806811","(1.0, 0.0, 0.0)","85.935394","1.6744435","1.0","1.0","0.16963911","1.5","(88.42609, 0.0, 0.0)","0.97446674","0.9972973","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","12.071821","(1.0, 0.0, 0.0)","85.708855","1.7425098","1.0","1.0","0.17279525","1.5","(88.19319, 0.0, 0.0)","0.9744633","0.9972984","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","12.355745","(1.0, 0.0, 0.0)","85.45107","1.8216108","1.0","1.0","0.17619027","1.5","(87.92818, 0.0, 0.0)","0.97445947","0.9972997","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","12.644572","(1.0, 0.0, 0.0)","85.174904","1.9083055","1.0","1.0","0.17965898","1.5","(87.64426, 0.0, 0.0)","0.97445524","0.9973011","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","12.908091","(1.0, 0.0, 0.0)","84.893974","1.9985651","1.0","1.0","0.1828379","1.5","(87.35543, 0.0, 0.0)","0.97445107","0.9973025","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","13.185673","(1.0, 0.0, 0.0)","84.63765","2.082735","1.0","1.0","0.18620029","1.5","(87.09191, 0.0, 0.0)","0.97444725","0.9973037","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","13.442702","(1.0, 0.0, 0.0)","84.36765","2.1732745","1.0","1.0","0.18932739","1.5","(86.81433, 0.0, 0.0)","0.9744432","0.997305","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","13.688377","(1.0, 0.0, 0.0)","84.11765","2.258828","1.0","1.0","0.1923286","1.5","(86.5573, 0.0, 0.0)","0.97443956","0.9973062","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","13.94798","(1.0, 0.0, 0.0)","83.878685","2.342146","1.0","1.0","0.19551247","1.5","(86.31162, 0.0, 0.0)","0.9744361","0.9973073","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","14.2003765","(1.0, 0.0, 0.0)","83.62619","2.4318268","1.0","1.0","0.19862102","1.5","(86.05202, 0.0, 0.0)","0.9744323","0.9973086","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","14.444043","(1.0, 0.0, 0.0)","83.3807","2.5206337","1.0","1.0","0.20163445","1.5","(85.79962, 0.0, 0.0)","0.9744288","0.99730974","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","14.675885","(1.0, 0.0, 0.0)","83.1437","2.6078799","1.0","1.0","0.20451319","1.5","(85.555954, 0.0, 0.0)","0.9744253","0.9973109","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","14.923891","(1.0, 0.0, 0.0)","82.9182","2.69227","1.0","1.0","0.20760454","1.5","(85.32411, 0.0, 0.0)","0.97442186","0.997312","0.0"
